"rate_date","from_ccy","to_ccy","rate"
"2026-01-01","GBP","GBP","1.013768"
"2026-01-01","USD","GBP","1.268242"
"2026-01-01","EUR","GBP","1.17345"
"2026-01-01","JPY","GBP","192.909232"
"2026-01-01","CHF","GBP","1.083652"
"2026-01-02","GBP","GBP","0.985751"
"2026-01-02","USD","GBP","1.261389"
"2026-01-02","EUR","GBP","1.153042"
"2026-01-02","JPY","GBP","191.47431"
"2026-01-02","CHF","GBP","1.097661"
"2026-01-03","GBP","GBP","0.988069"
"2026-01-03","USD","GBP","1.251731"
"2026-01-03","EUR","GBP","1.146757"
"2026-01-03","JPY","GBP","192.545715"
"2026-01-03","CHF","GBP","1.118121"
"2026-01-04","GBP","GBP","1.019903"
"2026-01-04","USD","GBP","1.289719"
"2026-01-04","EUR","GBP","1.154922"
"2026-01-04","JPY","GBP","192.397946"
"2026-01-04","CHF","GBP","1.096006"
"2026-01-05","GBP","GBP","1.002301"
"2026-01-05","USD","GBP","1.285961"
"2026-01-05","EUR","GBP","1.186406"
"2026-01-05","JPY","GBP","187.65178"
"2026-01-05","CHF","GBP","1.094423"
"2026-01-06","GBP","GBP","1.007926"
"2026-01-06","USD","GBP","1.283018"
"2026-01-06","EUR","GBP","1.175356"
"2026-01-06","JPY","GBP","190.382646"
"2026-01-06","CHF","GBP","1.101852"
"2026-01-07","GBP","GBP","1.006878"
"2026-01-07","USD","GBP","1.254896"
"2026-01-07","EUR","GBP","1.190135"
"2026-01-07","JPY","GBP","192.33835"
"2026-01-07","CHF","GBP","1.111272"
"2026-01-08","GBP","GBP","1.018113"
"2026-01-08","USD","GBP","1.250793"
"2026-01-08","EUR","GBP","1.178876"
"2026-01-08","JPY","GBP","186.484185"
"2026-01-08","CHF","GBP","1.087594"
"2026-01-09","GBP","GBP","1.017845"
"2026-01-09","USD","GBP","1.246838"
"2026-01-09","EUR","GBP","1.165124"
"2026-01-09","JPY","GBP","191.309968"
"2026-01-09","CHF","GBP","1.083086"
"2026-01-10","GBP","GBP","1.018266"
"2026-01-10","USD","GBP","1.293816"
"2026-01-10","EUR","GBP","1.158725"
"2026-01-10","JPY","GBP","191.402046"
"2026-01-10","CHF","GBP","1.105318"
"2026-01-11","GBP","GBP","0.986061"
"2026-01-11","USD","GBP","1.27916"
"2026-01-11","EUR","GBP","1.185065"
"2026-01-11","JPY","GBP","192.746562"
"2026-01-11","CHF","GBP","1.081641"
"2026-01-12","GBP","GBP","0.9812"
"2026-01-12","USD","GBP","1.275834"
"2026-01-12","EUR","GBP","1.164511"
"2026-01-12","JPY","GBP","190.072558"
"2026-01-12","CHF","GBP","1.096933"
"2026-01-13","GBP","GBP","0.995501"
"2026-01-13","USD","GBP","1.280976"
"2026-01-13","EUR","GBP","1.174085"
"2026-01-13","JPY","GBP","187.354407"
"2026-01-13","CHF","GBP","1.112095"
"2026-01-14","GBP","GBP","1.019962"
"2026-01-14","USD","GBP","1.255274"
"2026-01-14","EUR","GBP","1.155758"
"2026-01-14","JPY","GBP","186.798759"
"2026-01-14","CHF","GBP","1.120197"
"2026-01-15","GBP","GBP","1.015026"
"2026-01-15","USD","GBP","1.254684"
"2026-01-15","EUR","GBP","1.153172"
"2026-01-15","JPY","GBP","190.740865"
"2026-01-15","CHF","GBP","1.098376"
"2026-01-16","GBP","GBP","1.000539"
"2026-01-16","USD","GBP","1.265854"
"2026-01-16","EUR","GBP","1.154939"
"2026-01-16","JPY","GBP","186.773363"
"2026-01-16","CHF","GBP","1.096331"
"2026-01-17","GBP","GBP","1.009172"
"2026-01-17","USD","GBP","1.269856"
"2026-01-17","EUR","GBP","1.190122"
"2026-01-17","JPY","GBP","193.264122"
"2026-01-17","CHF","GBP","1.095185"
"2026-01-18","GBP","GBP","1.019665"
"2026-01-18","USD","GBP","1.263944"
"2026-01-18","EUR","GBP","1.149822"
"2026-01-18","JPY","GBP","191.709372"
"2026-01-18","CHF","GBP","1.109951"
"2026-01-19","GBP","GBP","0.993519"
"2026-01-19","USD","GBP","1.282152"
"2026-01-19","EUR","GBP","1.155029"
"2026-01-19","JPY","GBP","190.813857"
"2026-01-19","CHF","GBP","1.114542"
"2026-01-20","GBP","GBP","0.989203"
"2026-01-20","USD","GBP","1.267803"
"2026-01-20","EUR","GBP","1.158016"
"2026-01-20","JPY","GBP","193.020787"
"2026-01-20","CHF","GBP","1.083128"
"2026-01-21","GBP","GBP","1.009861"
"2026-01-21","USD","GBP","1.283876"
"2026-01-21","EUR","GBP","1.155038"
"2026-01-21","JPY","GBP","191.713427"
"2026-01-21","CHF","GBP","1.110789"
"2026-01-22","GBP","GBP","1.018121"
"2026-01-22","USD","GBP","1.272027"
"2026-01-22","EUR","GBP","1.157103"
"2026-01-22","JPY","GBP","189.226998"
"2026-01-22","CHF","GBP","1.103048"
"2026-01-23","GBP","GBP","1.004465"
"2026-01-23","USD","GBP","1.266782"
"2026-01-23","EUR","GBP","1.16098"
"2026-01-23","JPY","GBP","186.906335"
"2026-01-23","CHF","GBP","1.108844"
"2026-01-24","GBP","GBP","1.015615"
"2026-01-24","USD","GBP","1.284534"
"2026-01-24","EUR","GBP","1.177385"
"2026-01-24","JPY","GBP","191.986137"
"2026-01-24","CHF","GBP","1.112464"
"2026-01-25","GBP","GBP","1.004731"
"2026-01-25","USD","GBP","1.251776"
"2026-01-25","EUR","GBP","1.168632"
"2026-01-25","JPY","GBP","188.879879"
"2026-01-25","CHF","GBP","1.105326"
"2026-01-26","GBP","GBP","0.985458"
"2026-01-26","USD","GBP","1.245535"
"2026-01-26","EUR","GBP","1.17156"
"2026-01-26","JPY","GBP","192.029048"
"2026-01-26","CHF","GBP","1.088253"
"2026-01-27","GBP","GBP","0.982269"
"2026-01-27","USD","GBP","1.253462"
"2026-01-27","EUR","GBP","1.159738"
"2026-01-27","JPY","GBP","193.487681"
"2026-01-27","CHF","GBP","1.107484"
"2026-01-28","GBP","GBP","1.018247"
"2026-01-28","USD","GBP","1.260697"
"2026-01-28","EUR","GBP","1.156171"
"2026-01-28","JPY","GBP","187.60063"
"2026-01-28","CHF","GBP","1.097252"
"2026-01-29","GBP","GBP","0.998069"
"2026-01-29","USD","GBP","1.252543"
"2026-01-29","EUR","GBP","1.177982"
"2026-01-29","JPY","GBP","187.382834"
"2026-01-29","CHF","GBP","1.08304"
"2026-01-30","GBP","GBP","1.016053"
"2026-01-30","USD","GBP","1.266543"
"2026-01-30","EUR","GBP","1.150679"
"2026-01-30","JPY","GBP","193.0863"
"2026-01-30","CHF","GBP","1.119366"
"2026-01-31","GBP","GBP","0.997759"
"2026-01-31","USD","GBP","1.285186"
"2026-01-31","EUR","GBP","1.169185"
"2026-01-31","JPY","GBP","187.06795"
"2026-01-31","CHF","GBP","1.099924"
"2026-02-01","GBP","GBP","1.00421"
"2026-02-01","USD","GBP","1.259961"
"2026-02-01","EUR","GBP","1.185335"
"2026-02-01","JPY","GBP","186.993428"
"2026-02-01","CHF","GBP","1.104784"
"2026-02-02","GBP","GBP","1.017384"
"2026-02-02","USD","GBP","1.244933"
"2026-02-02","EUR","GBP","1.168008"
"2026-02-02","JPY","GBP","187.456001"
"2026-02-02","CHF","GBP","1.100552"
"2026-02-03","GBP","GBP","0.997487"
"2026-02-03","USD","GBP","1.252522"
"2026-02-03","EUR","GBP","1.162903"
"2026-02-03","JPY","GBP","189.413633"
"2026-02-03","CHF","GBP","1.110773"
"2026-02-04","GBP","GBP","1.002939"
"2026-02-04","USD","GBP","1.274145"
"2026-02-04","EUR","GBP","1.16876"
"2026-02-04","JPY","GBP","188.660799"
"2026-02-04","CHF","GBP","1.092588"
"2026-02-05","GBP","GBP","0.998476"
"2026-02-05","USD","GBP","1.268512"
"2026-02-05","EUR","GBP","1.161348"
"2026-02-05","JPY","GBP","188.009376"
"2026-02-05","CHF","GBP","1.109668"
"2026-02-06","GBP","GBP","1.008181"
"2026-02-06","USD","GBP","1.291907"
"2026-02-06","EUR","GBP","1.175955"
"2026-02-06","JPY","GBP","192.483988"
"2026-02-06","CHF","GBP","1.112718"
"2026-02-07","GBP","GBP","0.990311"
"2026-02-07","USD","GBP","1.279747"
"2026-02-07","EUR","GBP","1.154393"
"2026-02-07","JPY","GBP","189.70082"
"2026-02-07","CHF","GBP","1.080853"
"2026-02-08","GBP","GBP","1.006151"
"2026-02-08","USD","GBP","1.269451"
"2026-02-08","EUR","GBP","1.151285"
"2026-02-08","JPY","GBP","190.574226"
"2026-02-08","CHF","GBP","1.100129"
"2026-02-09","GBP","GBP","0.997807"
"2026-02-09","USD","GBP","1.280105"
"2026-02-09","EUR","GBP","1.170248"
"2026-02-09","JPY","GBP","191.087415"
"2026-02-09","CHF","GBP","1.107804"
"2026-02-10","GBP","GBP","1.009815"
"2026-02-10","USD","GBP","1.248846"
"2026-02-10","EUR","GBP","1.17769"
"2026-02-10","JPY","GBP","187.425584"
"2026-02-10","CHF","GBP","1.094133"
"2026-02-11","GBP","GBP","1.014495"
"2026-02-11","USD","GBP","1.261132"
"2026-02-11","EUR","GBP","1.154032"
"2026-02-11","JPY","GBP","192.148251"
"2026-02-11","CHF","GBP","1.0796"
"2026-02-12","GBP","GBP","0.985382"
"2026-02-12","USD","GBP","1.294753"
"2026-02-12","EUR","GBP","1.174193"
"2026-02-12","JPY","GBP","189.123489"
"2026-02-12","CHF","GBP","1.117786"
"2026-02-13","GBP","GBP","0.980134"
"2026-02-13","USD","GBP","1.26387"
"2026-02-13","EUR","GBP","1.176112"
"2026-02-13","JPY","GBP","189.059193"
"2026-02-13","CHF","GBP","1.08921"
"2026-02-14","GBP","GBP","1.009812"
"2026-02-14","USD","GBP","1.294863"
"2026-02-14","EUR","GBP","1.188145"
"2026-02-14","JPY","GBP","188.920813"
"2026-02-14","CHF","GBP","1.082006"
"2026-02-15","GBP","GBP","0.983372"
"2026-02-15","USD","GBP","1.26906"
"2026-02-15","EUR","GBP","1.188624"
"2026-02-15","JPY","GBP","192.438475"
"2026-02-15","CHF","GBP","1.117"
"2026-02-16","GBP","GBP","1.010519"
"2026-02-16","USD","GBP","1.293642"
"2026-02-16","EUR","GBP","1.178052"
"2026-02-16","JPY","GBP","190.461374"
"2026-02-16","CHF","GBP","1.120871"
"2026-02-17","GBP","GBP","1.004837"
"2026-02-17","USD","GBP","1.25816"
"2026-02-17","EUR","GBP","1.168408"
"2026-02-17","JPY","GBP","189.697431"
"2026-02-17","CHF","GBP","1.118774"
"2026-02-18","GBP","GBP","1.017294"
"2026-02-18","USD","GBP","1.27168"
"2026-02-18","EUR","GBP","1.164564"
"2026-02-18","JPY","GBP","189.424428"
"2026-02-18","CHF","GBP","1.118933"
"2026-02-19","GBP","GBP","1.006661"
"2026-02-19","USD","GBP","1.290299"
"2026-02-19","EUR","GBP","1.180082"
"2026-02-19","JPY","GBP","191.302155"
"2026-02-19","CHF","GBP","1.099981"
"2026-02-20","GBP","GBP","0.982634"
"2026-02-20","USD","GBP","1.248071"
"2026-02-20","EUR","GBP","1.152641"
"2026-02-20","JPY","GBP","189.151126"
"2026-02-20","CHF","GBP","1.119011"
"2026-02-21","GBP","GBP","1.010239"
"2026-02-21","USD","GBP","1.25455"
"2026-02-21","EUR","GBP","1.160936"
"2026-02-21","JPY","GBP","186.733572"
"2026-02-21","CHF","GBP","1.090424"
"2026-02-22","GBP","GBP","0.995235"
"2026-02-22","USD","GBP","1.266316"
"2026-02-22","EUR","GBP","1.162416"
"2026-02-22","JPY","GBP","193.011804"
"2026-02-22","CHF","GBP","1.090029"
"2026-02-23","GBP","GBP","0.986766"
"2026-02-23","USD","GBP","1.260613"
"2026-02-23","EUR","GBP","1.147952"
"2026-02-23","JPY","GBP","189.318492"
"2026-02-23","CHF","GBP","1.090465"
"2026-02-24","GBP","GBP","1.009457"
"2026-02-24","USD","GBP","1.290998"
"2026-02-24","EUR","GBP","1.154575"
"2026-02-24","JPY","GBP","189.616429"
"2026-02-24","CHF","GBP","1.092187"
"2026-02-25","GBP","GBP","0.98849"
"2026-02-25","USD","GBP","1.275363"
"2026-02-25","EUR","GBP","1.16829"
"2026-02-25","JPY","GBP","189.450523"
"2026-02-25","CHF","GBP","1.09668"
"2026-02-26","GBP","GBP","0.987388"
"2026-02-26","USD","GBP","1.283516"
"2026-02-26","EUR","GBP","1.157206"
"2026-02-26","JPY","GBP","188.641698"
"2026-02-26","CHF","GBP","1.114104"
"2026-02-27","GBP","GBP","1.007786"
"2026-02-27","USD","GBP","1.287085"
"2026-02-27","EUR","GBP","1.159879"
"2026-02-27","JPY","GBP","190.977683"
"2026-02-27","CHF","GBP","1.087609"
"2026-02-28","GBP","GBP","0.997003"
"2026-02-28","USD","GBP","1.293399"
"2026-02-28","EUR","GBP","1.165122"
"2026-02-28","JPY","GBP","187.551489"
"2026-02-28","CHF","GBP","1.102015"
"2026-03-01","GBP","GBP","1.000195"
"2026-03-01","USD","GBP","1.254512"
"2026-03-01","EUR","GBP","1.169418"
"2026-03-01","JPY","GBP","187.346664"
"2026-03-01","CHF","GBP","1.111491"
"2026-03-02","GBP","GBP","0.994052"
"2026-03-02","USD","GBP","1.288831"
"2026-03-02","EUR","GBP","1.160879"
"2026-03-02","JPY","GBP","189.149169"
"2026-03-02","CHF","GBP","1.111578"
"2026-03-03","GBP","GBP","0.9861"
"2026-03-03","USD","GBP","1.290215"
"2026-03-03","EUR","GBP","1.178403"
"2026-03-03","JPY","GBP","186.700684"
"2026-03-03","CHF","GBP","1.109672"
"2026-03-04","GBP","GBP","0.986015"
"2026-03-04","USD","GBP","1.281806"
"2026-03-04","EUR","GBP","1.187719"
"2026-03-04","JPY","GBP","191.107078"
"2026-03-04","CHF","GBP","1.082297"
"2026-03-05","GBP","GBP","1.004593"
"2026-03-05","USD","GBP","1.254803"
"2026-03-05","EUR","GBP","1.14738"
"2026-03-05","JPY","GBP","186.775743"
"2026-03-05","CHF","GBP","1.103465"
"2026-03-06","GBP","GBP","0.993313"
"2026-03-06","USD","GBP","1.246199"
"2026-03-06","EUR","GBP","1.165332"
"2026-03-06","JPY","GBP","187.658812"
"2026-03-06","CHF","GBP","1.115762"
"2026-03-07","GBP","GBP","1.011033"
"2026-03-07","USD","GBP","1.270893"
"2026-03-07","EUR","GBP","1.193053"
"2026-03-07","JPY","GBP","193.068369"
"2026-03-07","CHF","GBP","1.113972"
"2026-03-08","GBP","GBP","0.980685"
"2026-03-08","USD","GBP","1.250595"
"2026-03-08","EUR","GBP","1.161229"
"2026-03-08","JPY","GBP","191.265701"
"2026-03-08","CHF","GBP","1.081223"
"2026-03-09","GBP","GBP","0.99256"
"2026-03-09","USD","GBP","1.268016"
"2026-03-09","EUR","GBP","1.185845"
"2026-03-09","JPY","GBP","190.441815"
"2026-03-09","CHF","GBP","1.107394"
"2026-03-10","GBP","GBP","1.011869"
"2026-03-10","USD","GBP","1.252563"
"2026-03-10","EUR","GBP","1.156796"
"2026-03-10","JPY","GBP","193.107005"
"2026-03-10","CHF","GBP","1.080992"
"2026-03-11","GBP","GBP","1.007706"
"2026-03-11","USD","GBP","1.248765"
"2026-03-11","EUR","GBP","1.181705"
"2026-03-11","JPY","GBP","186.809274"
"2026-03-11","CHF","GBP","1.118963"
"2026-03-12","GBP","GBP","0.992161"
"2026-03-12","USD","GBP","1.253665"
"2026-03-12","EUR","GBP","1.165872"
"2026-03-12","JPY","GBP","190.548212"
"2026-03-12","CHF","GBP","1.096847"
"2026-03-13","GBP","GBP","0.992793"
"2026-03-13","USD","GBP","1.268498"
"2026-03-13","EUR","GBP","1.151896"
"2026-03-13","JPY","GBP","190.226708"
"2026-03-13","CHF","GBP","1.121442"
"2026-03-14","GBP","GBP","1.005397"
"2026-03-14","USD","GBP","1.290592"
"2026-03-14","EUR","GBP","1.182909"
"2026-03-14","JPY","GBP","188.087281"
"2026-03-14","CHF","GBP","1.108919"
"2026-03-15","GBP","GBP","0.981295"
"2026-03-15","USD","GBP","1.265927"
"2026-03-15","EUR","GBP","1.156525"
"2026-03-15","JPY","GBP","190.550462"
"2026-03-15","CHF","GBP","1.112481"
"2026-03-16","GBP","GBP","0.986155"
"2026-03-16","USD","GBP","1.263004"
"2026-03-16","EUR","GBP","1.16806"
"2026-03-16","JPY","GBP","189.298637"
"2026-03-16","CHF","GBP","1.112409"
"2026-03-17","GBP","GBP","0.987043"
"2026-03-17","USD","GBP","1.285932"
"2026-03-17","EUR","GBP","1.169599"
"2026-03-17","JPY","GBP","187.142068"
"2026-03-17","CHF","GBP","1.085285"
"2026-03-18","GBP","GBP","1.007753"
"2026-03-18","USD","GBP","1.283588"
"2026-03-18","EUR","GBP","1.189301"
"2026-03-18","JPY","GBP","193.592985"
"2026-03-18","CHF","GBP","1.100595"
"2026-03-19","GBP","GBP","1.013547"
"2026-03-19","USD","GBP","1.280476"
"2026-03-19","EUR","GBP","1.181253"
"2026-03-19","JPY","GBP","188.01038"
"2026-03-19","CHF","GBP","1.11115"
"2026-03-20","GBP","GBP","1.013743"
"2026-03-20","USD","GBP","1.262268"
"2026-03-20","EUR","GBP","1.161049"
"2026-03-20","JPY","GBP","190.53818"
"2026-03-20","CHF","GBP","1.079457"
"2026-03-21","GBP","GBP","1.015655"
"2026-03-21","USD","GBP","1.263951"
"2026-03-21","EUR","GBP","1.191974"
"2026-03-21","JPY","GBP","187.766452"
"2026-03-21","CHF","GBP","1.079567"
"2026-03-22","GBP","GBP","0.990913"
"2026-03-22","USD","GBP","1.288792"
"2026-03-22","EUR","GBP","1.154915"
"2026-03-22","JPY","GBP","188.453514"
"2026-03-22","CHF","GBP","1.112192"
"2026-03-23","GBP","GBP","1.01767"
"2026-03-23","USD","GBP","1.281171"
"2026-03-23","EUR","GBP","1.146791"
"2026-03-23","JPY","GBP","192.20485"
"2026-03-23","CHF","GBP","1.089099"
"2026-03-24","GBP","GBP","1.000248"
"2026-03-24","USD","GBP","1.294333"
"2026-03-24","EUR","GBP","1.192895"
"2026-03-24","JPY","GBP","188.968469"
"2026-03-24","CHF","GBP","1.090914"
"2026-03-25","GBP","GBP","1.014698"
"2026-03-25","USD","GBP","1.295041"
"2026-03-25","EUR","GBP","1.184184"
"2026-03-25","JPY","GBP","191.784435"
"2026-03-25","CHF","GBP","1.116017"
"2026-03-26","GBP","GBP","0.993046"
"2026-03-26","USD","GBP","1.279113"
"2026-03-26","EUR","GBP","1.192177"
"2026-03-26","JPY","GBP","192.424496"
"2026-03-26","CHF","GBP","1.119364"
"2026-03-27","GBP","GBP","1.012244"
"2026-03-27","USD","GBP","1.24732"
"2026-03-27","EUR","GBP","1.188146"
"2026-03-27","JPY","GBP","189.046918"
"2026-03-27","CHF","GBP","1.117188"
"2026-03-28","GBP","GBP","1.011806"
"2026-03-28","USD","GBP","1.28748"
"2026-03-28","EUR","GBP","1.159953"
"2026-03-28","JPY","GBP","186.871318"
"2026-03-28","CHF","GBP","1.11728"
"2026-03-29","GBP","GBP","1.012956"
"2026-03-29","USD","GBP","1.274562"
"2026-03-29","EUR","GBP","1.175424"
"2026-03-29","JPY","GBP","187.687072"
"2026-03-29","CHF","GBP","1.103159"
"2026-03-30","GBP","GBP","0.984751"
"2026-03-30","USD","GBP","1.280268"
"2026-03-30","EUR","GBP","1.191076"
"2026-03-30","JPY","GBP","193.693261"
"2026-03-30","CHF","GBP","1.088877"
"2026-03-31","GBP","GBP","1.014583"
"2026-03-31","USD","GBP","1.262816"
"2026-03-31","EUR","GBP","1.190801"
"2026-03-31","JPY","GBP","188.307626"
"2026-03-31","CHF","GBP","1.08529"
"2026-04-01","GBP","GBP","1.015938"
"2026-04-01","USD","GBP","1.273955"
"2026-04-01","EUR","GBP","1.157586"
"2026-04-01","JPY","GBP","188.799852"
"2026-04-01","CHF","GBP","1.109217"
"2026-04-02","GBP","GBP","1.003738"
"2026-04-02","USD","GBP","1.290119"
"2026-04-02","EUR","GBP","1.163385"
"2026-04-02","JPY","GBP","188.90888"
"2026-04-02","CHF","GBP","1.120724"
"2026-04-03","GBP","GBP","1.015528"
"2026-04-03","USD","GBP","1.286875"
"2026-04-03","EUR","GBP","1.17606"
"2026-04-03","JPY","GBP","193.035958"
"2026-04-03","CHF","GBP","1.098112"
"2026-04-04","GBP","GBP","1.006485"
"2026-04-04","USD","GBP","1.279839"
"2026-04-04","EUR","GBP","1.188761"
"2026-04-04","JPY","GBP","189.783744"
"2026-04-04","CHF","GBP","1.098662"
"2026-04-05","GBP","GBP","0.991106"
"2026-04-05","USD","GBP","1.263753"
"2026-04-05","EUR","GBP","1.175026"
"2026-04-05","JPY","GBP","187.438813"
"2026-04-05","CHF","GBP","1.110791"
"2026-04-06","GBP","GBP","1.004961"
"2026-04-06","USD","GBP","1.281636"
