"txn_id","posting_date","account_code","cost_centre","customer_id","currency_code","amount","description","source_system"
"1","2026-03-21","41007","CC002","1062","JPY","16212.95","GL posting 1","ERP"
"2","2026-03-07","41042","CC008","1119","GBP","16135.38","GL posting 2","ERP"
"3","2026-05-30","41009","CC017","1014","GBP","-368.95","GL posting 3","ERP"
"4","2026-04-05","41012","CC008","1010","EUR","6314.45","GL posting 4","ERP"
"5","2026-06-25","41021","CC016","1029","JPY","20281.32","GL posting 5","ERP"
"6","2026-05-19","41040","CC014","1106","EUR","48754.48","GL posting 6","ERP"
"7","2026-07-15","41005","CC013","1138","GBP","37191.04","GL posting 7","ERP"
"8","2026-01-14","41042","CC003","1084","EUR","32490.24","GL posting 8","ERP"
"9","2026-06-15","41045","CC005","1160","EUR","3170.09","GL posting 9","ERP"
"10","2026-01-31","41043","CC007","1122","EUR","38667.55","GL posting 10","ERP"
"11","2026-06-30","41029","CC005","1148","GBP","41535.63","GL posting 11","ERP"
"12","2026-05-04","41003","CC010","1109","EUR","17579.7","GL posting 12","ERP"
"13","2026-01-15","41025","CC019","1135","JPY","11011.67","GL posting 13","ERP"
"14","2026-04-28","41040","CC006","1047","USD","437.11","GL posting 14","ERP"
"15","2026-06-17","41015","CC019","1118","GBP","31172.58","GL posting 15","ERP"
"16","2026-07-09","41041","CC001","1184","GBP","2523.25","GL posting 16","ERP"
"17","2026-03-23","41002","CC014","1080","USD","44107.92","GL posting 17","ERP"
"18","2026-03-03","41006","CC020","1106","EUR","-1700.4","GL posting 18","ERP"
"19","2026-04-02","41040","CC018","1151","USD","20625.13","GL posting 19","ERP"
"20","2026-07-15","41038","CC007","1094","USD","43543.09","GL posting 20","ERP"
"21","2026-06-15","41019","CC005","1106","JPY","31942.46","GL posting 21","ERP"
"22","2026-06-22","41043","CC013","1003","EUR","47438.34","GL posting 22","ERP"
"23","2026-04-15","41027","CC020","1002","USD","20808.48","GL posting 23","ERP"
"24","2026-07-10","41039","CC013","1112","GBP","39936","GL posting 24","ERP"
"25","2026-03-24","41015","CC020","1148","EUR","16682.2","GL posting 25","ERP"
"26","2026-05-19","41046","CC014","1199","USD","12040.79","GL posting 26","ERP"
"27","2026-01-01","41043","CC001","1087","CHF","-638.52","GL posting 27","ERP"
"28","2026-06-19","41019","CC003","1042","CHF","7176.53","GL posting 28","ERP"
"29","2026-05-05","41011","CC013","1136","EUR","41960.26","GL posting 29","ERP"
"30","2026-04-27","41032","CC019","1179","CHF","4624.23","GL posting 30","ERP"
"31","2026-01-22","41026","CC015","1014","CHF","36585.36","GL posting 31","ERP"
"32","2026-05-17","41037","CC004","1124","CHF","6294.21","GL posting 32","ERP"
"33","2026-04-10","41039","CC017","1168","GBP","7870.17","GL posting 33","ERP"
"34","2026-05-13","41042","CC014","1145","EUR","7286.4","GL posting 34","ERP"
"35","2026-04-20","41018","CC012","1055","USD","30601.44","GL posting 35","ERP"
"36","2026-06-11","41020","CC005","1005","JPY","22803.93","GL posting 36","ERP"
"37","2026-07-02","41033","CC013","1026","EUR","6626.8","GL posting 37","ERP"
"38","2026-03-09","41025","CC020","1021","USD","11756.46","GL posting 38","ERP"
"39","2026-04-02","41027","CC007","1013","EUR","-2264.01","GL posting 39","ERP"
"40","2026-07-04","41016","CC020","1168","JPY","29338.45","GL posting 40","ERP"
"41","2026-07-07","41022","CC009","1020","EUR","6368.09","GL posting 41","ERP"
"42","2026-01-27","41013","CC014","1122","CHF","15272.15","GL posting 42","ERP"
"43","2026-04-15","41009","CC014","1033","CHF","26739.59","GL posting 43","ERP"
"44","2026-01-25","41049","CC005","1008","GBP","-1743.77","GL posting 44","ERP"
"45","2026-07-05","41039","CC004","1196","GBP","8438.17","GL posting 45","ERP"
"46","2026-02-13","41047","CC015","1196","JPY","7429.4","GL posting 46","ERP"
"47","2026-02-23","41019","CC013","1099","GBP","-4544.68","GL posting 47","ERP"
"48","2026-01-01","41017","CC010","1073","USD","35618.84","GL posting 48","ERP"
"49","2026-04-21","41021","CC006","1001","CHF","49356.51","GL posting 49","ERP"
"50","2026-01-28","41023","CC017","1012","JPY","4522.99","GL posting 50","ERP"
"51","2026-02-13","41011","CC015","1030","EUR","35182.77","GL posting 51","ERP"
"52","2026-05-25","41022","CC020","1163","EUR","10441.24","GL posting 52","ERP"
"53","2026-06-12","41035","CC020","1084","CHF","41072.18","GL posting 53","ERP"
"54","2026-05-03","41021","CC005","1142","GBP","2588.63","GL posting 54","ERP"
"55","2026-04-01","41038","CC017","1183","JPY","-2783.88","GL posting 55","ERP"
"56","2026-04-29","41000","CC008","1149","JPY","2138.09","GL posting 56","ERP"
"57","2026-02-15","41049","CC008","1047","GBP","-700.42","GL posting 57","ERP"
"58","2026-07-10","41029","CC005","1145","CHF","21995.68","GL posting 58","ERP"
"59","2026-01-31","41046","CC020","1019","GBP","35042.05","GL posting 59","ERP"
"60","2026-02-25","41042","CC003","1013","USD","16852.85","GL posting 60","ERP"
"61","2026-01-19","41007","CC014","1016","USD","5475.96","GL posting 61","ERP"
"62","2026-01-27","41015","CC017","1153","EUR","6459.7","GL posting 62","ERP"
"63","2026-04-14","41032","CC002","1013","GBP","28133.38","GL posting 63","ERP"
"64","2026-06-21","41049","CC010","1043","USD","33220.83","GL posting 64","ERP"
"65","2026-05-05","41002","CC001","1029","GBP","39160.36","GL posting 65","ERP"
"66","2026-07-06","41039","CC019","1001","USD","25830.06","GL posting 66","ERP"
"67","2026-07-04","41027","CC012","1190","JPY","44525.46","GL posting 67","ERP"
"68","2026-03-11","41049","CC019","1138","GBP","39415.03","GL posting 68","ERP"
"69","2026-02-03","41001","CC010","1117","GBP","26522.77","GL posting 69","ERP"
"70","2026-04-15","41026","CC007","1020","USD","34734.77","GL posting 70","ERP"
"71","2026-06-04","41027","CC006","1124","USD","32847.62","GL posting 71","ERP"
"72","2026-02-22","41010","CC014","1106","CHF","39413.15","GL posting 72","ERP"
"73","2026-05-18","41018","CC016","1053","CHF","48537.5","GL posting 73","ERP"
"74","2026-02-13","41043","CC004","1129","JPY","44815.64","GL posting 74","ERP"
"75","2026-07-28","41012","CC018","1096","EUR","19230.17","GL posting 75","ERP"
"76","2026-02-21","41033","CC018","1114","JPY","32782.81","GL posting 76","ERP"
"77","2026-01-20","41018","CC020","1030","USD","45473.67","GL posting 77","ERP"
"78","2026-01-02","41018","CC007","1196","GBP","26498.75","GL posting 78","ERP"
"79","2026-06-05","41011","CC006","1016","USD","-1315.37","GL posting 79","ERP"
"80","2026-06-08","41004","CC009","1112","JPY","-2738.17","GL posting 80","ERP"
"81","2026-07-25","41013","CC008","1195","USD","2266.78","GL posting 81","ERP"
"82","2026-02-15","41014","CC012","1016","USD","28501.34","GL posting 82","ERP"
"83","2026-03-07","41039","CC009","1052","USD","45782.63","GL posting 83","ERP"
"84","2026-01-04","41046","CC005","1009","JPY","7569.56","GL posting 84","ERP"
"85","2026-06-08","41009","CC003","1000","CHF","28605.82","GL posting 85","ERP"
"86","2026-07-10","41033","CC007","1000","CHF","8131.37","GL posting 86","ERP"
"87","2026-05-26","41023","CC014","1088","USD","6786.26","GL posting 87","ERP"
"88","2026-01-17","41007","CC002","1104","CHF","29226.34","GL posting 88","ERP"
"89","2026-01-03","41047","CC011","1057","USD","2540.44","GL posting 89","ERP"
"90","2026-07-17","41008","CC003","1018","EUR","-3559.39","GL posting 90","ERP"
