"invoice_id","customer_id","invoice_date","due_date","currency_code","amount","status"
"1","1040","2026-02-28","2026-04-26","CHF","15084.31","PAID"
"2","1178","2026-01-27","2026-06-25","USD","15846.57","OPEN"
"3","1126","2026-05-26","2026-03-03","USD","22813.53","OVERDUE"
"4","1122","2026-06-05","2026-01-21","JPY","23493.27","OVERDUE"
"5","1180","2026-06-02","2026-07-17","CHF","21133.57","PAID"
"6","1175","2026-02-04","2026-06-15","USD","776.75","OPEN"
"7","1024","2026-07-28","2026-04-11","JPY","6139.32","OVERDUE"
"8","1166","2026-05-23","2026-01-02","JPY","16050.36","PAID"
"9","1109","2026-04-06","2026-01-17","JPY","16194.19","OVERDUE"
"10","1081","2026-07-10","2026-04-08","EUR","813.29","OVERDUE"
"11","1105","2026-04-18","2026-07-25","EUR","7744.13","OVERDUE"
"12","1152","2026-05-13","2026-02-09","GBP","14588.88","OPEN"
"13","1010","2026-07-15","2026-02-24","CHF","15812.06","PAID"
"14","1144","2026-05-30","2026-05-08","EUR","4347.42","OPEN"
"15","1016","2026-01-03","2026-01-30","CHF","7313.2","PAID"
"16","1032","2026-01-08","2026-02-15","CHF","17977.82","OPEN"
"17","1166","2026-07-08","2026-05-29","EUR","2828.45","PAID"
"18","1196","2026-02-13","2026-05-02","EUR","23142.89","OPEN"
"19","1162","2026-03-19","2026-07-04","EUR","10809.98","OPEN"
"20","1123","2026-01-11","2026-02-13","CHF","19263","OVERDUE"
"21","1179","2026-01-09","2026-07-15","USD","19103.54","OPEN"
"22","1164","2026-07-10","2026-07-23","CHF","13506.73","PAID"
"23","1163","2026-04-30","2026-03-10","GBP","9173.53","OPEN"
"24","1135","2026-03-15","2026-04-13","JPY","12495.66","PAID"
"25","1170","2026-04-16","2026-06-01","EUR","3048.97","OPEN"
"26","1033","2026-05-18","2026-02-09","GBP","11633.59","OVERDUE"
"27","1094","2026-07-12","2026-05-22","CHF","22870.79","PAID"
"28","1097","2026-07-07","2026-05-23","JPY","14010.09","OPEN"
"29","1139","2026-04-04","2026-04-26","JPY","13308.87","PAID"
"30","1081","2026-02-22","2026-03-12","USD","17056.47","OVERDUE"
"31","1185","2026-01-29","2026-01-26","USD","724.23","PAID"
"32","1088","2026-06-22","2026-06-29","CHF","9317.52","PAID"
"33","1123","2026-01-09","2026-07-02","CHF","10206.64","OVERDUE"
"34","1041","2026-05-17","2026-03-17","EUR","21757.52","OPEN"
"35","1133","2026-03-13","2026-06-03","EUR","455.73","PAID"
"36","1151","2026-04-27","2026-02-18","JPY","4132.9","OPEN"
"37","1126","2026-05-29","2026-06-16","CHF","418.09","OPEN"
"38","1042","2026-04-11","2026-03-06","CHF","15395.01","OPEN"
"39","1099","2026-06-12","2026-07-15","USD","4324.42","PAID"
"40","1097","2026-01-26","2026-04-02","GBP","3572.37","OPEN"
"41","1098","2026-05-14","2026-02-15","JPY","19870.63","OVERDUE"
"42","1190","2026-05-01","2026-05-10","CHF","5627.93","PAID"
"43","1174","2026-03-31","2026-04-24","USD","6917.54","OVERDUE"
"44","1158","2026-03-06","2026-03-12","CHF","21424.14","OVERDUE"
"45","1117","2026-03-17","2026-06-26","GBP","11788.15","OVERDUE"
"46","1170","2026-01-20","2026-02-11","USD","23144.51","OVERDUE"
"47","1040","2026-03-08","2026-03-24","CHF","3293.63","OVERDUE"
"48","1140","2026-07-09","2026-05-18","USD","8365.95","OVERDUE"
"49","1065","2026-07-07","2026-07-25","CHF","15238.58","OVERDUE"
"50","1042","2026-06-14","2026-07-16","EUR","10927.03","PAID"
"51","1066","2026-03-13","2026-01-17","GBP","18251.15","OVERDUE"
"52","1005","2026-07-19","2026-06-29","GBP","17763.22","OPEN"
"53","1092","2026-02-09","2026-06-15","CHF","13265.06","OPEN"
"54","1041","2026-02-18","2026-03-08","GBP","528.98","OVERDUE"
"55","1108","2026-04-09","2026-03-21","EUR","4698.1","PAID"
"56","1112","2026-05-01","2026-02-13","USD","14942.79","OVERDUE"
"57","1190","2026-01-26","2026-07-26","JPY","3054.17","OVERDUE"
"58","1119","2026-02-01","2026-05-28","GBP","12033.76","OVERDUE"
"59","1022","2026-06-12","2026-06-30","GBP","12687.44","PAID"
"60","1096","2026-04-11","2026-04-14","EUR","15002.08","OVERDUE"
"61","1124","2026-05-02","2026-05-23","EUR","12947.66","OVERDUE"
"62","1021","2026-03-13","2026-05-03","JPY","4616.44","OVERDUE"
"63","1063","2026-05-24","2026-04-14","CHF","5928.54","OPEN"
"64","1162","2026-03-17","2026-02-07","USD","6202.05","PAID"
"65","1130","2026-04-13","2026-01-18","CHF","21967.34","OVERDUE"
"66","1116","2026-01-06","2026-05-10","CHF","21217.45","OPEN"
"67","1086","2026-02-27","2026-02-22","CHF","-21423.51","PAID"
"68","1160","2026-01-01","2026-05-17","CHF","12855.63","OPEN"
"69","1043","2026-04-16","2026-01-10","USD","11553.98","OPEN"
"70","1172","2026-04-16","2026-06-22","JPY","20044.62","PAID"
"71","1132","2026-07-05","2026-01-17","JPY","24264.09","PAID"
"72","1017","2026-07-16","2026-04-28","GBP","11093.59","PAID"
"73","1097","2026-04-03","2026-01-28","JPY","7692.05","PAID"
"74","1106","2026-05-01","2026-04-03","GBP","4032.5","OPEN"
"75","1155","2026-04-02","2026-01-17","CHF","13580.43","PAID"
"76","1026","2026-04-30","2026-01-17","CHF","10528.72","OPEN"
"77","1115","2026-04-14","2026-02-17","CHF","11050.22","PAID"
"78","1012","2026-05-25","2026-01-11","CHF","15237.24","OVERDUE"
"79","1062","2026-05-17","2026-06-08","USD","9599.56","OVERDUE"
"80","1099","2026-04-12","2026-02-07","CHF","20065.49","OVERDUE"
"81","1176","2026-01-12","2026-06-21","USD","17906.23","OVERDUE"
"82","1015","2026-02-14","2026-01-18","EUR","5882.75","OVERDUE"
"83","1151","2026-01-06","2026-07-27","JPY","5152.97","OPEN"
"84","1186","2026-03-11","2026-04-27","GBP","324.71","PAID"
"85","1002","2026-01-10","2026-01-24","JPY","20283.01","OVERDUE"
"86","1126","2026-02-20","2026-05-14","GBP","554.51","OPEN"
"87","1087","2026-05-21","2026-06-14","CHF","4453.45","PAID"
"88","1090","2026-02-11","2026-01-21","CHF","15241.16","OVERDUE"
"89","1146","2026-02-25","2026-02-23","GBP","13328.81","PAID"
"90","1033","2026-07-25","2026-07-21","GBP","21950.92","OPEN"
"91","1159","2026-03-16","2026-05-15","CHF","13045.75","OVERDUE"
"92","1135","2026-06-14","2026-02-02","GBP","14797.77","OPEN"
"93","1171","2026-01-04","2026-06-11","GBP","8422.56","PAID"
"94","1197","2026-03-21","2026-01-03","JPY","6030.94","OPEN"
"95","1139","2026-06-24","2026-07-16","EUR","4275.1","OPEN"
"96","1170","2026-04-08","2026-07-23","CHF","15495.73","OVERDUE"
"97","1098","2026-01-22","2026-01-09","USD","11567.97","PAID"
"98","1192","2026-02-09","2026-07-01","JPY","12559.63","OPEN"
"99","1196","2026-05-12","2026-02-04","EUR","5668.71","PAID"
"100","1191","2026-02-17","2026-05-13","GBP","5721.26","OVERDUE"
"101","1112","2026-06-19","2026-03-08","EUR","-22540.2","OVERDUE"
"102","1056","2026-07-26","2026-04-18","JPY","21103.63","OVERDUE"
